Agency,ErrorStrike,SemiMajor90,SemiMinor90,cluster_flag,cluster_index,comment,day,depth,depthError,eventID,flag,hour,latitude,longitude,magnitude,magnitudeType,minute,month,second,sigmaMagnitude,timeError,year
EMEC,,,,0,0,,14,30.0,,6396,,1,36.600000000000001,35.600000000000001,6.2000000000000002,MW,1,5,1.0,0.0,,1894
EMEC,,,,0,0,,7,999.0,,6491,,2,30.600000000000001,31.199999999999999,5.2999999999999998,MW,40,12,1.0,0.0,,1895
EMEC,,,,0,0,,2,999.0,,6507,,1,34.0,36.0,5.5,MW,1,5,1.0,0.0,,1896
EMEC,,,,0,16,,29,999.0,,6510,,4,34.450000000000003,33.100000000000001,6.5,MW,5,6,1.0,0.0,,1896
AM93,,,,0,0,,5,999.0,,60,,0,34.0,34.5,6.0,MS,55,1,0.0,0.17000000000000001,,1900
EMEC,,,,0,0,,27,999.0,,6709,,2,37.630000000000003,37.369999999999997,5.2999999999999998,MW,30,1,1.0,0.0,,1900
EMEC,,,,0,22,,6,999.0,,6718,,17,29.0,33.0,6.2000000000000002,MW,58,3,1.0,0.0,,1900
EMEC,,,,0,0,,9,999.0,,6803,,23,31.800000000000001,35.200000000000003,5.7000000000000002,MW,5,3,1.0,0.0,,1902
EMEC,,,,0,0,,29,999.0,,6850,,22,32.200000000000003,35.399999999999999,5.7000000000000002,MW,30,3,1.0,0.0,,1902
GSHAP_TR,,,,0,51,,29,10.0,,45250,,22,32.200000000000003,35.399999999999999,5.7000000000000002,MW,30,3,0.0,0.0,,1903
KOERI,,,,0,0,,6,5.0,,68371,,0,37.799999999999997,32.5,4.7000000000000002,MD,0,7,1.0,0.29999999999999999,,1903
EMEC,,,,0,0,,19,20.0,,6950,,18,35.0,30.0,5.7000000000000002,MW,7,7,1.0,0.0,,1903
AM93,,,,0,0,,27,999.0,,61,,14,34.600000000000001,33.299999999999997,5.7000000000000002,MS,48,8,0.0,0.17000000000000001,,1903
EMEC,,,,0,0,,7,999.0,,6972,,11,36.5,36.5,5.2000000000000002,MW,12,10,1.0,0.0,,1903
ISC-GEM,,,,0,0,,4,15.0,,58902,,12,37.216000000000001,38.829999999999998,5.5999999999999996,MW,20,12,7.96,0.0,,1905
AM93,,,,0,0,,23,999.0,,62,,7,34.299999999999997,33.5,5.7999999999999998,MS,31,2,10.0,0.17000000000000001,,1906
EMEC,,,,0,0,,26,999.0,,7300,,13,27.199999999999999,33.399999999999999,5.2999999999999998,MW,43,12,1.0,0.0,,1906
